Nama Program / Kegiatan / Sub Kegiatan,Anggaran (Rp),Realisasi Keuangan (Rp),Realisasi Keuangan %,Realisasi Fisik (%)
PROGRAM PENINGKATAN DIVERSIFIKASI DAN KETAHANAN PANGAN MASYARAKAT,,,,
Jumlah gabungan kelompok tani yang diberdayakan,"4,781,145,000 ","4,659,973,975 ",97.47,100
Jumlah lumbung pangan yang diberdayakan,"3,006,830,000 ","2,999,064,205 ",99.74,100
Laporan Kondisi harga pangan pokok,"49,890,000 ","249,592,400 ",99.88,100
Jumlah desa mandiri pangan yang diberdayakan,"1,181,150,000 ","1,179,450,000 ",99.86,100
"Lokasi Penanganan Rawan Pangan, SKPG","485,550,000 ","482,717,700 ",99.42,100
Laporan Hasil Penyusunan FSVA,"15,000,000 ","14,960,000 ",99.73,100
"Laporan Kajian ketersediaan pangan, rawan pangan dan akses pangan","75,100,000 ","75,100,000 ",100.00,100
Laporan Kegiatan dan Pembinaan (Output Generik),"48,250,000 ","48,120,600 ",99.73,100
Pendampingan P2KP (Percepatan Penganekaragaman Konsumsi Pangan),"21,710,600,000 ","21,705,650,000 ",99.98,100
"Pemantauan, Monitoring, Evaluasi dan Perumusan Kebijakan P2KP","1,816,000,000 ","1,795,868,900 ",98.89,100
Laporan Promosi P2KP,"938,300,000 ","929,500,600 ",99.06,100
Situasi Konsumsi Pangan Penduduk,"150,400,000 ","148,666,650 ",98.85,100
Hasil Koordinasi Keamanan Pangan Segar,"90,000,000 ","89,350,000 ",99.28,100
"Dokumen Perencanaan, Penganggaran dan Laporan Keuangan","481,937,000 ","475,757,700 ",98.72,100
Hasil pemantauan dan evaluasi program,"245,139,000 ","244,876,500 ",99.89,100
Dukungan manajemen dan Administrasi,"415,400,000 ","406,340,000 ",97.82,100
Kendaraan Bermotor (Dana TP),"275,000,000 ","273,960,000 ",99.62,100
