Nama Program / Kegiatan / Sub Kegiatan,Anggaran (Rp),Realisasi Keuangan (Rp),Realisasi Keuangan %,Realisasi Fisik (%)
PROGRAM PENINGKATAN DIVERSIFIKASI DAN KETAHANAN PANGAN MASYARAKAT,,,,
PENGEMBANGAN SISTEM DISTRIBUSI DAN STABILITAS HARGA PANGAN,"3,438,730,000 ","3,436,982,600 ",99.95,100 
Jumlah Gabungan Kelompok Tani (Gapoktan) yang diberdayakan,"1,924,650,000 ","1,924,650,000 ",100.00,100 
- Belanja barang,"1,174,650,000 ","1,174,650,000 ",100.00,100 
- Belanja bansos,"750,000,000 ","750,000,000 ",100.00,100 
Jumlah Lumbung Pangan yang diberdayakan,"1,209,088,000 ","1,207,340,600 ",99.86,100 
- Belanja barang,"409,088,000 ","407,340,600 ",99.57,100 
- Belanja bansos,"800,000,000 ","800,000,000 ",100.00,100 
Laporan Kondisi Harga Pangan Pokok,"304,992,000 ","304,992,000 ",100.00,100 
PENGEMBANGAN KETERSEDIAAN DAN PENANGANAN RAWAN PANGAN,"1,366,386,000 ","1,345,510,800 ",98.47,100 
Jumlah Desa Mandiri Pangan (DMP) yang diberdayakan,"924,240,000 ","922,493,100 ",99.81,100 
"Lokasi Penanganan Rawan Pangan, SKPG","188,146,000 ","185,166,000 ",98.42,100 
"Laporan Kajian Ketersediaan Pangan, Rawan Pangan dan Akses Pangan","65,000,000 ","64,960,000 ",99.94,100 
Laporan Kegiatan dan Pembinaan (Output Generik),"189,000,000 ","172,891,700 ",91.48,100 
PENGEMBANGAN PENGANEKARAGAMAN KONSUMSI PANGAN DAN PENINGKATAN KEAMANAN PANGAN SEGAR,"9,597,072,000 ","9,566,562,670 ",99.68,100 
Pendampingan P2KP (Percepatan Peganekaragaman Konsumsi Pangan),"8,529,450,000 ","8,506,348,370 ",99.73,100 
- Belanja barang,"3,597,450,000 ","3,574,348,370 ",99.36,100 
- Belanja bansos,"4,932,000,000 ","4,932,000,000 ",100.00,100 
"Pemantauan, Monitoring, Evaluasi dan Perumusan Kebijakan P2KP","250,000,000 ","250,000,000 ",100.00,100 
Laporan Promosi P2KP,"95,750,000 ","91,750,000 ",95.82,100 
Situasi Konsumsi Pangan Penduduk,"70,000,000 ","70,000,000 ",100.00,100 
Hasil Koordinasi Keamanan Pangan Segar,"55,000,000 ","54,960,000 ",99.93,100 
Laporan Kegiatan dan Pembinaan (Output Generik),"596,872,000 ","593,504,300 ",99.44,100 
DUKUNGAN MANAJEMEN DAN TEKNIS LAINNYA BADAN KETAHANAN PANGAN,"1,029,489,000 ","1,021,934,870 ",99.27,100 
"Dokumen Perencanaan, Penganggaran dan Laporan Keuangan","389,600,000 ","388,634,570 ",99.75,100 
Hasil Pemantauan dan Evaluasi Program,"172,154,000 ","169,671,300 ",98.56,100 
Dukungan Manajemen dan Administrasi,"459,735,000 ","455,629,000 ",99.11,100 
Perangkat Pengolah Data dan Komunikasi,"8,000,000 ","8,000,000 ",100.00,100 
JUMLAH KEGIATAN,"15,431,677,000 ","15,370,990,940 ",99.61,100 
